Processed Tokens,Wiki,AlQuds,Corpus A Terms or types,Corpus B Terms or types
21400000,635111,490321,635111,490321
21500000,636854,491921,636854,491921
21600000,638355,493170,638355,493170
21700000,639991,494446,639991,494446
21800000,641569,495918,641569,495918
21900000,643564,496901,643564,496901
22000000,645101,498523,645101,498523
22100000,646841,499636,646841,499636
22200000,648472,501106,648472,501106
22300000,650300,502351,650300,502351
22400000,652028,503570,652028,503570
22500000,653703,504826,653703,504826
22600000,655537,505997,655537,505997
22700000,657244,507091,657244,507091
22800000,658480,508534,658480,508534
22900000,659930,509905,659930,509905
23000000,661134,511197,661134,511197
23100000,662997,512527,662997,512527
23200000,664314,514047,664314,514047
23300000,665894,515219,665894,515219
23400000,667770,516223,667770,516223
23500000,669325,517654,669325,517654
23600000,670682,518884,670682,518884
23700000,672292,520301,672292,520301
23800000,674241,521756,674241,521756
23900000,675918,523196,675918,523196
24000000,677524,524460,677524,524460
24100000,678793,525544,678793,525544
24200000,679782,526781,679782,526781
24300000,681601,528194,681601,528194
24400000,683126,530021,683126,530021
24500000,684690,531093,684690,531093
24600000,686249,532414,686249,532414
24700000,687600,533661,687600,533661
24800000,689401,535327,689401,535327
24900000,691251,536640,691251,536640
25000000,692994,537992,692994,537992
25100000,694692,539393,694692,539393
25200000,696432,540731,696432,540731
25300000,698119,542347,698119,542347
25400000,699647,543844,699647,543844
25500000,701255,545081,701255,545081
25600000,702889,546275,702889,546275
25700000,704488,547444,704488,547444
25800000,705984,548847,705984,548847
25900000,707566,550327,707566,550327
26000000,708947,551691,708947,551691
26100000,710315,552888,710315,552888
26200000,711859,554215,711859,554215
26300000,713412,555289,713412,555289
26400000,714664,556459,714664,556459
26500000,716217,557720,716217,557720
26600000,717907,559106,717907,559106
26700000,719875,560799,719875,560799
26800000,721381,562241,721381,562241
26900000,722870,563497,722870,563497
27000000,725017,564842,725017,564842
27100000,726551,566300,726551,566300
27200000,727993,567471,727993,567471
27300000,729504,568740,729504,568740
27400000,730721,569950,730721,569950
27500000,732385,570923,732385,570923
27600000,734410,572055,734410,572055
27700000,736068,573342,736068,573342
27800000,737873,574713,737873,574713
27900000,739489,575961,739489,575961
28000000,741234,577067,741234,577067
28100000,742923,578464,742923,578464
28200000,744353,579373,744353,579373
28300000,745615,580761,745615,580761
28400000,747180,581975,747180,581975
28500000,748574,583052,748574,583052
28600000,750085,584262,750085,584262
28700000,751494,585169,751494,585169
28800000,753000,586365,753000,586365
28900000,754688,587426,754688,587426
29000000,756109,588507,756109,588507
29100000,757735,589658,757735,589658
29200000,758977,591042,758977,591042
29300000,760513,592476,760513,592476
29400000,762346,593569,762346,593569
29500000,763981,594648,763981,594648
29600000,765511,596156,765511,596156
29700000,768558,597176,768558,597176
29800000,770280,598774,770280,598774
29900000,771468,600392,771468,600392
30000000,772994,601352,772994,601352
30100000,774769,602405,774769,602405
30200000,776542,603515,776542,603515
30300000,778185,604813,778185,604813
30400000,779700,605998,779700,605998
30500000,781327,607298,781327,607298
30600000,782477,608242,782477,608242
30700000,783679,609297,783679,609297
30800000,785473,610379,785473,610379
30900000,787062,611486,787062,611486
31000000,788738,612957,788738,612957
31100000,790325,614181,790325,614181
31200000,791766,615788,791766,615788
31300000,792922,616771,792922,616771
31400000,794343,617779,794343,617779
31500000,795932,619042,795932,619042
31600000,797404,620065,797404,620065
31700000,799011,621448,799011,621448
31800000,800275,622585,800275,622585
31900000,801670,623843,801670,623843
32000000,803177,624934,803177,624934
32100000,804570,626023,804570,626023
